dataset_id,authors,title,year_of_publication,journal/book/repository,reference,contact person,contact email address,last version publication date dd-mm-yy,version,date of access dd-mm-yy,DOI,download URL,URL,right to reuse,license,country,taxa1,taxa2,measure,year begin,year end,status,follow up,limitation,standardisation,data availability,data format
larsen_2018a,,Llyn Brianne,,,,,,,,,,,,,,,,,,,,wrangled,metadata,,,,
larsen_2018b,,Wales,,,,,,,,,,,,,,,,,,,,wrangled,metadata,average alpha richness,,,
hassall_2012a,,,,,,,,,,,,,Temporal dynamics of aquatic communities and implications for pond conservation | SpringerLink,,,,plants,,,,,wrangled,merge,S at 1 gamma scale for two time periods - table 6,the same 51 ponds in 1995/6 (“survey 1”) and 2006 (“survey 2”),,
hassall_2012b,,,,,,,,,,,,,Temporal dynamics of aquatic communities and implications for pond conservation | SpringerLink,,,,invertebrates,,,,,wrangled,merge,S at 1 gamma scale for two time periods - table 5,the same 51 ponds in 1995/6 (“survey 1”) and 2006 (“survey 2”),,
van-den-berge_2019,,,,,"Van Den Berge, S, Tessens, S, Baeten, L, Vanderschaeve, C, Verheyen, K, Schmidtlein, S. Contrasting vegetation change (1974–2015) in hedgerows and forests in an intensively used agricultural landscape. Appl Veg Sci. 2019; 22: 269– 281. https://doi.org/10.1111/avsc.12424 ",,,,,,,,https://onlinelibrary.wiley.com/doi/10.1111/avsc.12424,,,belgium,plants,,,,,wrangled,merge,,none,data in table 1,
prach_2018,,,,,"Prach, J, Kopecký, M. Landscape-scale vegetation homogenization in Central European sub-montane forests over the past 50 years. Appl Veg Sci. 2018; 21: 373– 384. https://doi.org/10.1111/avsc.12372 ",,,,,,,,https://onlinelibrary.wiley.com/doi/full/10.1111/avsc.12372,,,,plants,,,,,wrangled,merge,,,"Change in alpha in Fig 2;  + Change in alpha in text: Despite this relatively low α-diversity, the study plots harboured varying vegetation; in total 269 vascular plant species were recorded: 222 species in the old survey, 201 in the new survey.",
becker-scarpitta_2017,,,,,"Becker Scarpitta, A., Bardat, J., Lalanne, A. and Vellend, M. (2017), Long-term community change: bryophytes are more responsive than vascular plants to nitrogen deposition and warming. J Veg Sci, 28: 1220-1229. https://doi.org/10.1111/jvs.12579",,,,,,,,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12579,,,,plants,bryophytes,,,,first look,discuss,alpha is not given as a mean values but as the estimate from a LMM,,table 1,
alignier_2018,,Two decades of change in a field margin vegetation metacommunity as a result of field margin structure and management practice changes,2018,"Agriculture, Ecosystems & Environment",,,,,,,https://doi.org/10.1016/j.agee.2017.09.013,,https://doi.org/10.1016/j.agee.2017.09.013,,,,,,,,,wrangled,merge,,,"""Gamma diversity decreased from 308 species in 1994 to 284 species in 2015. However,
randomization tests based on rarefaction curves suggested that this variation was not significantly different from chance variation (P = 0.30). Species richness per site increased from a mean ± SE of 28.31 ± 9.18 in 1994 to 31.89 ± 11.42 in 2015, with values ranging
from 7 to 58 in 1994 and from 7 to 64 in 2015""",
kolari_2021,,,,," Kolari, THM, Korpelainen, P, Kumpula, T, Tahvanainen, T. Accelerated vegetation succession but no hydrological change in a boreal fen during 20 years of recent climate change. Ecol Evol. 2021; 11: 7602– 7621. https://doi.org/10.1002/ece3.7592 ",,,,,,,,,,,finland,plants,,,,,wrangled,merge,,,"For alpha: Table 1 + For gamma: In total, 128 species were found on the plots, 110 in 1999 and 112 in 2018. While the total number of species stayed nearly constant, 16 species were only met in 1999 and 18 only in 2018. ",
beauvais_2016,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0006320715302196,,,,,,,,,extracted,discuss,"in figure 4, we see only 94 out of 133 points because some are overlapping",,"But they’ve given us alpha and gamma, and so should work for Shane’s study. + Alpha in figure 4 (would have to be extracted from figure); gamma in Table 2 (use observed, not estimated). ",
litza_2017,,Resurveying hedgerows in Northern Germany: Plant community shifts over the past 50 years,2017,,,,,,,,https://doi.org/10.1016/j.biocon.2016.12.003,,https://doi.org/10.1016/j.biocon.2016.12.003,,,germany,plants,,,,,wrangled,merge,,,"Alpha—median of alpha is given in Table 1 + Gamma—in results, it says “The cumulative number of species in all plots decreased from 182 to 164 species”",
molina-martinez_2016,,,,,,,,,,,10.1111/ddi.12473,,,,,mexico,insects,butterflies,,,,wrangled,merge,,,,
zeni_2020,,,,,,,,,,,https://doi.org/10.1007/s10750-020-04356-1,,,,,,,,,,,wangled,merge,,,,
