dataset_id,reference,DOI,URL,right to reuse,license,country,taxa1,taxa2,status,follow up,limitation,standardisation,data availability,
larsen_2018a,"Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213",https://doi.org/10.1002/ecy.2213,,,,wales,Invertebrates,Insects,wrangled,metadata,,none needed,,
larsen_2018b,"Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213",https://doi.org/10.1002/ecy.2213,,,,wales,Invertebrates,Insects,wrangled,metadata,,none needed,,
hassall_2012a,"Hassall, C., Hollinshead, J. & Hull, A. Temporal dynamics of aquatic communities and implications for pond conservation. Biodivers Conserv 21, 829–852 (2012). https://doi.org/10.1007/s10531-011-0223-9",https://doi.org/10.1007/s10531-011-0223-9,,open,article,,Plants,,wrangled,merge,,none needed,,
hassall_2012b,"Hassall, C., Hollinshead, J. & Hull, A. Temporal dynamics of aquatic communities and implications for pond conservation. Biodivers Conserv 21, 829–852 (2012). https://doi.org/10.1007/s10531-011-0223-9",https://doi.org/10.1007/s10531-011-0223-9,,open,article,,Invertebrates,,wrangled,merge,,none needed,,
van-den-berge_2019,"Van Den Berge, S, Tessens, S, Baeten, L, Vanderschaeve, C, Verheyen, K, Schmidtlein, S. Contrasting vegetation change (1974–2015) in hedgerows and forests in an intensively used agricultural landscape. Appl Veg Sci. 2019; 22: 269– 281. https://doi.org/10.1111/avsc.12424 ",https://doi.org/10.1111/avsc.12424,https://onlinelibrary.wiley.com/doi/10.1111/avsc.12424,open,article,belgium,Plants,,wrangled,merge,,none needed,data in table 1,
prach_2018,"Prach, J, Kopecký, M. Landscape-scale vegetation homogenization in Central European sub-montane forests over the past 50 years. Appl Veg Sci. 2018; 21: 373– 384. https://doi.org/10.1111/avsc.12372 ",https://doi.org/10.1111/avsc.12372 ,https://onlinelibrary.wiley.com/doi/full/10.1111/avsc.12372,open,article,,Plants,,wrangled,merge,,none needed,"Change in alpha in Fig 2;  + Change in alpha in text: Despite this relatively low α-diversity, the study plots harboured varying vegetation; in total 269 vascular plant species were recorded: 222 species in the old survey, 201 in the new survey.",
becker-scarpitta_2017a,"Becker Scarpitta, A., Bardat, J., Lalanne, A. and Vellend, M. (2017), Long-term community change: bryophytes are more responsive than vascular plants to nitrogen deposition and warming. J Veg Sci, 28: 1220-1229. https://doi.org/10.1111/jvs.12579",https://doi.org/10.1111/jvs.12579,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12579,open,article,,Plants,bryophytes,first look,discuss,alpha is not given as a mean values but as the estimate from a LMM,none needed,table 1,
becker-scarpitta_2017b,"Becker Scarpitta, A., Bardat, J., Lalanne, A. and Vellend, M. (2017), Long-term community change: bryophytes are more responsive than vascular plants to nitrogen deposition and warming. J Veg Sci, 28: 1220-1229. https://doi.org/10.1111/jvs.12579",https://doi.org/10.1111/jvs.12579,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12579,open,article,,Plants,bryophytes,first look,discuss,alpha is not given as a mean values but as the estimate from a LMM,none needed,table 1,
alignier_2018,"Audrey Alignier, Two decades of change in a field margin vegetation metacommunity as a result of field margin structure and management practice changes, Agriculture, Ecosystems & Environment, Volume 251, 2018, Pages 1-10, ISSN 0167-8809, https://doi.org/10.1016/j.agee.2017.09.013.",https://doi.org/10.1016/j.agee.2017.09.013,https://doi.org/10.1016/j.agee.2017.09.013,open,article,,Plants,,wrangled,merge,,none needed,"""Gamma diversity decreased from 308 species in 1994 to 284 species in 2015. However,
randomization tests based on rarefaction curves suggested that this variation was not significantly different from chance variation (P = 0.30). Species richness per site increased from a mean ± SE of 28.31 ± 9.18 in 1994 to 31.89 ± 11.42 in 2015, with values ranging
from 7 to 58 in 1994 and from 7 to 64 in 2015""",
kolari_2021," Kolari, THM, Korpelainen, P, Kumpula, T, Tahvanainen, T. Accelerated vegetation succession but no hydrological change in a boreal fen during 20 years of recent climate change. Ecol Evol. 2021; 11: 7602– 7621. https://doi.org/10.1002/ece3.7592 ",https://doi.org/10.1002/ece3.7592,,open,article,finland,Plants,,wrangled,merge,,none needed,"For alpha: Table 1 + For gamma: In total, 128 species were found on the plots, 110 in 1999 and 112 in 2018. While the total number of species stayed nearly constant, 16 species were only met in 1999 and 18 only in 2018. ",
