dataset_id,year,period,regional,local,latitude,longitude,effort,study_type,alpha_grain_type,alpha_grain_comment,gamma_extent_type,gamma_extent_comment,realm,taxon,comment,alpha_grain_m2,gamma_extent_km2
alignier_2018,1994,historical,"Zone Atelier Armorique, France",all_sites,48.5999984741211,-1.53333330154419,309,ecological sampling,sample,"1 25m long plot per field margin, as wide as the field margin",functional,area of the three sampled landscapes in the experimental site,terrestrial,plants,"Extracted from https://doi.org/10.1016/j.agee.2017.09.013. Methods: 'A set of 309 field margins across three contrasted landscapes (107 in landscape A, 106 in landscape B and 96 in landscape C), firstly sampled in 1994, was resurveyed in 2015 using precisely the same protocol. The three landscapes (around 650 ha each) were defined from mapping surveys using a combination of the grain size of the field mosaic, the density of hedgerow network and the relative abundance of grassland versus crop. As the three sites are within 5–10 km from one another, they have a common plant species pool[...]All vascular understory plants were sampled in 25 m long plot (one plot per field margin) placed in the middle of the field margin to avoid multiple edge effects from connection with other field margins. To incorporate local heterogeneity in field margin structure, all thewidth of field margins was sampled.'",125,19.5
alignier_2018,2015,recent,"Zone Atelier Armorique, France",all_sites,48.5999984741211,-1.53333330154419,309,ecological sampling,sample,"1 25m long plot per field margin, as wide as the field margin",functional,area of the three sampled landscapes in the experimental site,terrestrial,plants,"Extracted from https://doi.org/10.1016/j.agee.2017.09.013. Methods: 'A set of 309 field margins across three contrasted landscapes (107 in landscape A, 106 in landscape B and 96 in landscape C), firstly sampled in 1994, was resurveyed in 2015 using precisely the same protocol. The three landscapes (around 650 ha each) were defined from mapping surveys using a combination of the grain size of the field mosaic, the density of hedgerow network and the relative abundance of grassland versus crop. As the three sites are within 5–10 km from one another, they have a common plant species pool[...]All vascular understory plants were sampled in 25 m long plot (one plot per field margin) placed in the middle of the field margin to avoid multiple edge effects from connection with other field margins. To incorporate local heterogeneity in field margin structure, all thewidth of field margins was sampled.'",125,19.5
becker-scarpitta_2017a,1976,historical,"Brotonne forest, France",all_subplots,49.5,0.725000023841858,91,resurvey,sample,"each subplot is one of soil, rock, tree stumps or fallen branches ",functional,area of the fieldwork region,terrestrial,bryophytes,"Extracted from table 1, Doi: 10.1111/jvs.12579. Methods: 'Using identical methods for the two time periods, theabundance of all species of vascular plant (herbaceous species, ferns, shrubs and trees) and bryophytes (Bryophyta and Marchantiophyta) were recorded following a phytosociological approach (Bardat 1978). In each plot (400 m2) or subplot (see below), the abundance of all vascular plant and bryophyte species present in the plot was recorded using Braun-Blanquet’s phytosociological coefficient[...]For bryophytes, recent surveys were conducted in April 2012, and in each plot we sampled up to four microhabitats (‘subplots’), corresponding to different substrates: soil, rock, tree stumps and fallen branches. Not all substrates were present in a given plot, so the total number of subplots (93: 44 soil + 2 rock + 32 stump +  15 branch) is <46 x4, but identical for the two time periods (balanced design). Because there are only two subplots on rock per year, we removed these from analyses, leaving 91 subplots per year.' Effort is the total number of subplots.",1,74.5
becker-scarpitta_2017a,2012,recent,"Brotonne forest, France",all_subplots,49.5,0.725000023841858,91,resurvey,sample,"each subplot is one of soil, rock, tree stumps or fallen branches ",functional,area of the fieldwork region,terrestrial,bryophytes,"Extracted from table 1, Doi: 10.1111/jvs.12579. Methods: 'Using identical methods for the two time periods, theabundance of all species of vascular plant (herbaceous species, ferns, shrubs and trees) and bryophytes (Bryophyta and Marchantiophyta) were recorded following a phytosociological approach (Bardat 1978). In each plot (400 m2) or subplot (see below), the abundance of all vascular plant and bryophyte species present in the plot was recorded using Braun-Blanquet’s phytosociological coefficient[...]For bryophytes, recent surveys were conducted in April 2012, and in each plot we sampled up to four microhabitats (‘subplots’), corresponding to different substrates: soil, rock, tree stumps and fallen branches. Not all substrates were present in a given plot, so the total number of subplots (93: 44 soil + 2 rock + 32 stump +  15 branch) is <46 x4, but identical for the two time periods (balanced design). Because there are only two subplots on rock per year, we removed these from analyses, leaving 91 subplots per year.' Effort is the total number of subplots.",1,74.5
becker-scarpitta_2017b,1976,historical,"Brotonne forest, France",all_plots,49.5,0.725000023841858,74,resurvey,plot,given by the authors,functional,area of the fieldwork region,terrestrial,plants,"Extracted from table 1, Doi: 10.1111/jvs.12579. Methods: 'Using identical methods for the two time periods, theabundance of all species of vascular plant (herbaceous species, ferns, shrubs and trees) and bryophytes (Bryophyta and Marchantiophyta) were recorded following a phytosociological approach (Bardat 1978). In each plot (400 m2) or subplot (see below), the abundance of all vascular plant and bryophyte species present in the plot was recorded using Braun-Blanquet’s phytosociological coefficient[...]For vascular plants, the recent surveys were conducted in 2009 during two time windows in April for spring flowering species and in June/July for summer flowering species' Effort is the total number of plots.",400,74.5
becker-scarpitta_2017b,2009,recent,"Brotonne forest, France",all_plots,49.5,0.725000023841858,74,resurvey,plot,given by the authors,functional,area of the fieldwork region,terrestrial,plants,"Extracted from table 1, Doi: 10.1111/jvs.12579. Methods: 'Using identical methods for the two time periods, theabundance of all species of vascular plant (herbaceous species, ferns, shrubs and trees) and bryophytes (Bryophyta and Marchantiophyta) were recorded following a phytosociological approach (Bardat 1978). In each plot (400 m2) or subplot (see below), the abundance of all vascular plant and bryophyte species present in the plot was recorded using Braun-Blanquet’s phytosociological coefficient[...]For vascular plants, the recent surveys were conducted in 2009 during two time windows in April for spring flowering species and in June/July for summer flowering species' Effort is the total number of plots.",400,74.5
hassall_2012a,1995,historical,"Cheshire, England",all_sites,53.0956993103027,-2.75760006904602,51,resurvey,lake/pond,mean pond area measured on 44 of the 51 sampled ponds,administrative,area of half the Cheshire county given by the authors,freshwater,plants,"Extracted from DOI 10.1007/s10531-011-0223-9. Methods: 'We surveyed 51 ponds in northern England in 1995/6 and again in 2006, identifying all macrophytes (167 species) and all macroinvertebrates (221 species, excluding Diptera) to species.[...]The presence and absence of invertebrate species was recorded using standardised sampling methods.' Effort is the number of historical sites that were resurveyed.",2154,2343
hassall_2012a,2006,recent,"Cheshire, England",all_sites,53.0956993103027,-2.75760006904602,51,resurvey,lake/pond,mean pond area measured on 44 of the 51 sampled ponds,administrative,area of half the Cheshire county given by the authors,freshwater,plants,"Extracted from DOI 10.1007/s10531-011-0223-9. Methods: 'We surveyed 51 ponds in northern England in 1995/6 and again in 2006, identifying all macrophytes (167 species) and all macroinvertebrates (221 species, excluding Diptera) to species.[...]The presence and absence of invertebrate species was recorded using standardised sampling methods.' Effort is the number of historical sites that were resurveyed.",2154,2343
hassall_2012b,1995,historical,"Cheshire, England",all_sites,53.0956993103027,-2.75760006904602,51,resurvey,lake/pond,mean pond area measured on 44 of the 51 sampled ponds,administrative,area of half the Cheshire county given by the authors,freshwater,invertebrates,"Extracted from DOI 10.1007/s10531-011-0223-9. Methods: 'We surveyed 51 ponds in northern England in 1995/6 and again in 2006, identifying all macrophytes (167 species) and all macroinvertebrates (221 species, excluding Diptera) to species.[...]The presence and absence of invertebrate species was recorded using standardised sampling methods.' Effort is the number of historical sites that were resurveyed.",2154,2343
hassall_2012b,2006,recent,"Cheshire, England",all_sites,53.0956993103027,-2.75760006904602,51,resurvey,lake/pond,mean pond area measured on 44 of the 51 sampled ponds,administrative,area of half the Cheshire county given by the authors,freshwater,invertebrates,"Extracted from DOI 10.1007/s10531-011-0223-9. Methods: 'We surveyed 51 ponds in northern England in 1995/6 and again in 2006, identifying all macrophytes (167 species) and all macroinvertebrates (221 species, excluding Diptera) to species.[...]The presence and absence of invertebrate species was recorded using standardised sampling methods.' Effort is the number of historical sites that were resurveyed.",2154,2343
